"Description","DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","PasswordLastSet","SamAccountName","SID","UserPrincipalName"
,"CN=DEMDXTRIAGE,OU=Servers,DC=moorfields,DC=nhs,DC=uk","DEMDXTriage.moorfields.nhs.uk","True","DEMDXTRIAGE","computer","c9967c48-ff62-40e9-8f4b-3a9445efe25c","14/10/2020 22:29:56","DEMDXTRIAGE$","S-1-5-21-563353728-1466834001-1008150880-62073",
,"CN=DM-MEH,OU=Servers,DC=moorfields,DC=nhs,DC=uk","dm-meh.moorfields.nhs.uk","True","DM-MEH","computer","7f99e295-89b7-41ab-861f-b3ede951d0e9","16/10/2020 15:13:28","DM-MEH$","S-1-5-21-563353728-1466834001-1008150880-53067",
,"CN=EALOCT200050G,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EALOCT200050G.moorfields.nhs.uk","True","EALOCT200050G","computer","b15dd7f7-a826-47de-a629-8fd90ae3624e","13/10/2020 19:47:11","EALOCT200050G$","S-1-5-21-563353728-1466834001-1008150880-28323",
,"CN=EDD_R6_ROLAND,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_R6_Roland.moorfields.nhs.uk","True","EDD_R6_ROLAND","computer","1653b243-064c-4329-8efe-0729192c7a1a","09/10/2020 16:03:37","EDD_R6_ROLAND$","S-1-5-21-563353728-1466834001-1008150880-62647",
,"CN=EDD_SERVER2,OU=Servers,DC=moorfields,DC=nhs,DC=uk","EDD_SERVER2.moorfields.nhs.uk","True","EDD_SERVER2","computer","b5c8fb17-cd8c-4af3-a4d2-b69d1b3df1e3","02/11/2020 18:18:52","EDD_SERVER2$","S-1-5-21-563353728-1466834001-1008150880-40481",
,"CN=EDD_TEST_ROOM_1,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_1.moorfields.nhs.uk","True","EDD_TEST_ROOM_1","computer","18de16f6-e3de-4f6d-92b9-d5cbd7c00614","24/10/2020 12:55:39","EDD_TEST_ROOM_1$","S-1-5-21-563353728-1466834001-1008150880-66480",
,"CN=EDD_TEST_ROOM_2,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_2.moorfields.nhs.uk","True","EDD_TEST_ROOM_2","computer","5e2b58fc-4b1c-4442-b69c-5315e9f98eba","22/10/2020 00:15:24","EDD_TEST_ROOM_2$","S-1-5-21-563353728-1466834001-1008150880-65698",
,"CN=EDD_TEST_ROOM_3,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_3.moorfields.nhs.uk","True","EDD_TEST_ROOM_3","computer","d25c25c7-1228-4b08-9ec9-679c77c248d1","23/10/2020 19:04:37","EDD_TEST_ROOM_3$","S-1-5-21-563353728-1466834001-1008150880-65249",
,"CN=EDD_TEST_ROOM_4,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_4.moorfields.nhs.uk","True","EDD_TEST_ROOM_4","computer","251fbbb9-3936-4f36-9225-42de352e972f","27/10/2020 09:55:45","EDD_TEST_ROOM_4$","S-1-5-21-563353728-1466834001-1008150880-65699",
,"CN=EDD_TEST_ROOM_5,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_5.moorfields.nhs.uk","True","EDD_TEST_ROOM_5","computer","8dc55da6-6448-4c65-a212-791a1fc08e24","26/10/2020 09:01:45","EDD_TEST_ROOM_5$","S-1-5-21-563353728-1466834001-1008150880-66481",
,"CN=EDD_TEST_ROOM_6,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_6.moorfields.nhs.uk","True","EDD_TEST_ROOM_6","computer","a4ace0d5-fb83-4a98-993a-22aa3caef0f9","29/10/2020 14:51:47","EDD_TEST_ROOM_6$","S-1-5-21-563353728-1466834001-1008150880-65935",
,"CN=EDD_TEST_ROOM_7,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_7.moorfields.nhs.uk","True","EDD_TEST_ROOM_7","computer","40aa94be-c537-401e-903e-24b6d08bd4f1","23/10/2020 00:29:38","EDD_TEST_ROOM_7$","S-1-5-21-563353728-1466834001-1008150880-65936",
,"CN=EDD_TEST_ROOM_8,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_8.moorfields.nhs.uk","True","EDD_TEST_ROOM_8","computer","379aa125-cd00-4c69-91d9-054879e05222","23/10/2020 15:31:38","EDD_TEST_ROOM_8$","S-1-5-21-563353728-1466834001-1008150880-66482",
,"CN=EDD_TEST_ROOM_9,CN=Computers,DC=moorfields,DC=nhs,DC=uk","EDD_TEST_ROOM_9.moorfields.nhs.uk","True","EDD_TEST_ROOM_9","computer","8bd0f6ae-ee3c-4f4e-95da-b6c7757f23af","22/10/2020 03:44:38","EDD_TEST_ROOM_9$","S-1-5-21-563353728-1466834001-1008150880-65934",
,"CN=ESTATES22,CN=Computers,DC=moorfields,DC=nhs,DC=uk","Estates22.moorfields.nhs.uk","True","ESTATES22","computer","717edab4-55cc-42f6-93a0-6ad85f985366","21/10/2020 19:39:07","ESTATES22$","S-1-5-21-563353728-1466834001-1008150880-39700",
,"CN=FRIENDSEPOSTILL,CN=Computers,DC=moorfields,DC=nhs,DC=uk","FRIENDSEPOSTILL.moorfields.nhs.uk","True","FRIENDSEPOSTILL","computer","9f0c5474-fb8a-47f5-9ef0-910a38078c28","13/10/2020 17:57:18","FRIENDSEPOSTILL$","S-1-5-21-563353728-1466834001-1008150880-64435",
,"CN=GBAZMEDVW01,OU=PC's,OU=RES-Terminal-Servers,OU=Servers,DC=moorfields,DC=nhs,DC=uk","GBAZMEDVW01.moorfields.nhs.uk","True","GBAZMEDVW01","computer","e685e97c-f8a6-4cbf-bfaf-cf3721e5b0f0","29/10/2020 08:33:18","GBAZMEDVW01$","S-1-5-21-563353728-1466834001-1008150880-66563",
,"CN=GBAZMEPVW01,OU=PC's,OU=RES-Terminal-Servers,OU=Servers,DC=moorfields,DC=nhs,DC=uk","GBAZMEPVW01.moorfields.nhs.uk","True","GBAZMEPVW01","computer","fa8c758f-959b-4479-a28d-69048c3b7d18","30/10/2020 09:32:12","GBAZMEPVW01$","S-1-5-21-563353728-1466834001-1008150880-66910",
,"CN=GBAZMEPVW02,OU=PC's,OU=RES-Terminal-Servers,OU=Servers,DC=moorfields,DC=nhs,DC=uk","GBAZMEPVW02.moorfields.nhs.uk","True","GBAZMEPVW02","computer","03d6ab9d-f077-4698-9fec-951b9dec1662","30/10/2020 13:57:58","GBAZMEPVW02$","S-1-5-21-563353728-1466834001-1008150880-66118",
,"CN=GBAZMEPVW03,OU=PC's,OU=RES-Terminal-Servers,OU=Servers,DC=moorfields,DC=nhs,DC=uk","GBAZMEPVW03.moorfields.nhs.uk","True","GBAZMEPVW03","computer","2df8d9ff-2fac-4f45-bef4-8632fd489ded","29/10/2020 20:19:04","GBAZMEPVW03$","S-1-5-21-563353728-1466834001-1008150880-66117",
,"CN=GBAZMEPVW04,OU=PC's,OU=RES-Terminal-Servers,OU=Servers,DC=moorfields,DC=nhs,DC=uk","GBAZMEPVW04.moorfields.nhs.uk","True","GBAZMEPVW04","computer","07c416da-76a6-420b-8c97-57f0aafa0729","30/10/2020 04:17:22","GBAZMEPVW04$","S-1-5-21-563353728-1466834001-1008150880-66909",
,"CN=GBAZMEPVW05,OU=PC's,OU=RES-Terminal-Servers,OU=Servers,DC=moorfields,DC=nhs,DC=uk","GBAZMEPVW05.moorfields.nhs.uk","True","GBAZMEPVW05","computer","eca409dd-6f19-4c22-bdd3-2fd465971b51","30/10/2020 07:05:42","GBAZMEPVW05$","S-1-5-21-563353728-1466834001-1008150880-66119",
,"CN=HE_CROY_SPEC,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE_CROY_SPEC.moorfields.nhs.uk","True","HE_CROY_SPEC","computer","048cf9c8-a0e4-4f00-a729-b60b9d791830","02/11/2020 08:18:00","HE_CROY_SPEC$","S-1-5-21-563353728-1466834001-1008150880-51916",
,"CN=HE_RDROOM14,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE_RDROOM14.moorfields.nhs.uk","True","HE_RDROOM14","computer","1dcf1c5e-f01e-4db1-8707-6c4bc75d89a0","02/11/2020 08:26:43","HE_RDROOM14$","S-1-5-21-563353728-1466834001-1008150880-52637",
,"CN=HE-104193-STG,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-104193-STG.moorfields.nhs.uk","True","HE-104193-STG","computer","d7900a29-4e4d-47ad-930d-06ceff29bde6","03/11/2020 08:47:40","HE-104193-STG$","S-1-5-21-563353728-1466834001-1008150880-56821",
,"CN=HE-104767-DV,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-104767-DV.moorfields.nhs.uk","True","HE-104767-DV","computer","bcc6ca6d-c727-4afa-a1c1-30738e146a66","13/10/2020 10:07:58","HE-104767-DV$","S-1-5-21-563353728-1466834001-1008150880-51315",
,"CN=HE-106099-PB,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-106099-PB.moorfields.nhs.uk","True","HE-106099-PB","computer","b9212ced-4256-41ea-93b0-7c2259e49a5b","04/11/2020 09:25:06","HE-106099-PB$","S-1-5-21-563353728-1466834001-1008150880-58314",
,"CN=HE-CLINICVF,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-ClinicVF.moorfields.nhs.uk","True","HE-CLINICVF","computer","4cbaf097-caf0-459d-a6f9-99515ed90a20","16/10/2020 04:18:18","HE-CLINICVF$","S-1-5-21-563353728-1466834001-1008150880-49991",
,"CN=HE-CRLG-13-3,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-crlg-13-3.moorfields.nhs.uk","True","HE-CRLG-13-3","computer","88593d74-00e4-40bb-a6e0-3e524cb24566","13/10/2020 23:37:39","HE-CRLG-13-3$","S-1-5-21-563353728-1466834001-1008150880-64718",
,"CN=HE-LGROOM14-3,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-LGROOM14-3.moorfields.nhs.uk","True","HE-LGROOM14-3","computer","5ed79345-396a-4128-9d62-ed6be33d5749","11/10/2020 08:18:13","HE-LGROOM14-3$","S-1-5-21-563353728-1466834001-1008150880-53975",
,"CN=HE-R2-OCT2,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-R2-OCT2.moorfields.nhs.uk","True","HE-R2-OCT2","computer","22ae8047-a319-4da7-9465-c15c188dd43d","29/10/2020 11:04:47","HE-R2-OCT2$","S-1-5-21-563353728-1466834001-1008150880-55867",
,"CN=HE-RDCEC4-05,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-RDCEC4-05.moorfields.nhs.uk","True","HE-RDCEC4-05","computer","e27d1ea0-dac7-4ffa-be79-4e20611e3c61","06/10/2020 08:45:11","HE-RDCEC4-05$","S-1-5-21-563353728-1466834001-1008150880-55358",
,"CN=HE-RDCEC-R4-05,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-rdcec-r4-05.moorfields.nhs.uk","True","HE-RDCEC-R4-05","computer","86fde69c-5841-43af-914c-85ee1738e4e3","18/10/2020 00:02:11","HE-RDCEC-R4-05$","S-1-5-21-563353728-1466834001-1008150880-64303",
,"CN=HEROOM134-HP,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HEROOM134-HP.moorfields.nhs.uk","True","HEROOM134-HP","computer","d5322961-6588-4281-be76-9466606f98ad","08/10/2020 08:28:47","HEROOM134-HP$","S-1-5-21-563353728-1466834001-1008150880-55449",
"Workstation ID 10","CN=HE-RTC2,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HE-RTC2.moorfields.nhs.uk","True","HE-RTC2","computer","39fe6024-2ef2-4a06-a814-09af21dbbfa8","19/10/2020 08:05:53","HE-RTC2$","S-1-5-21-563353728-1466834001-1008150880-40536",
,"CN=HEUK00177,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HEUK00177.moorfields.nhs.uk","True","HEUK00177","computer","a594407c-7ecf-4707-9a88-ae2ae9d3cf12","29/09/2020 14:52:37","HEUK00177$","S-1-5-21-563353728-1466834001-1008150880-67375",
,"CN=HEUK02133,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HEUK02133.moorfields.nhs.uk","True","HEUK02133","computer","2c2b3e5f-4f75-45f7-9ce9-86c04fcae941","02/11/2020 01:03:53","HEUK02133$","S-1-5-21-563353728-1466834001-1008150880-65274",
,"CN=HRA-OCT-104189,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HRA-OCT-104189.moorfields.nhs.uk","True","HRA-OCT-104189","computer","c0195499-f575-40a9-9f32-44052d2b0ba8","15/10/2020 08:09:47","HRA-OCT-104189$","S-1-5-21-563353728-1466834001-1008150880-64304",
,"CN=HRT2-GRU-CRF,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HRT2-GRU-CRF.moorfields.nhs.uk","True","HRT2-GRU-CRF","computer","fb662e9d-1e73-43aa-ab79-a7857f8107c7","12/10/2020 08:25:10","HRT2-GRU-CRF$","S-1-5-21-563353728-1466834001-1008150880-62417",
,"CN=HRT-CLINIC4,CN=Computers,DC=moorfields,DC=nhs,DC=uk","HRT-CLINIC4.moorfields.nhs.uk","True","HRT-CLINIC4","computer","0b67af81-deb9-40dd-8fb3-27a3a852e805","21/10/2020 08:19:17","HRT-CLINIC4$","S-1-5-21-563353728-1466834001-1008150880-53164",
,"CN=INSTALLSVR,OU=Servers,DC=moorfields,DC=nhs,DC=uk","Installsvr.moorfields.nhs.uk","True","INSTALLSVR","computer","243c32d1-195d-429c-8994-93ee4d4643e5","24/10/2020 07:38:50","INSTALLSVR$","S-1-5-21-563353728-1466834001-1008150880-2240",
,"CN=INTRANET3,OU=Servers,DC=moorfields,DC=nhs,DC=uk","INTRANET3.moorfields.nhs.uk","True","INTRANET3","computer","4eacd810-1345-4002-8e1e-c03b62195282","21/10/2020 05:21:36","INTRANET3$","S-1-5-21-563353728-1466834001-1008150880-50134",
"MEH - IT - On Call Tablet","CN=IT-TABLET,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","IT-Tablet.moorfields.nhs.uk","True","IT-TABLET","computer","11196d28-bb7b-4439-93f7-24b9feaf7ee5","03/11/2020 08:17:56","IT-TABLET$","S-1-5-21-563353728-1466834001-1008150880-61925",
,"CN=ITWIN10,OU=Test Desktop,OU=Test,DC=moorfields,DC=nhs,DC=uk","ITWin10.moorfields.nhs.uk","True","ITWIN10","computer","0e9decd4-353d-4417-a4df-03898d168904","27/10/2020 04:02:40","ITWIN10$","S-1-5-21-563353728-1466834001-1008150880-53909",
"Learning and Development - F0164807 - 3 yr warranty with mendit.com ref  74-14-001457333","CN=LD_NBK12685,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","LD_NBK12685.moorfields.nhs.uk","True","LD_NBK12685","computer","b1a882d0-e8ed-4604-83f2-258b20d5a4bc","15/10/2020 12:04:13","LD_NBK12685$","S-1-5-21-563353728-1466834001-1008150880-54864",
"Learning and Development - F0164807 - 3 yr warranty with mendit.com ref  74-14-001457333","CN=LD_NBK12767,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","LD_NBK12767.moorfields.nhs.uk","True","LD_NBK12767","computer","45ca796a-8919-4120-af89-14c335a4baed","27/09/2020 02:41:41","LD_NBK12767$","S-1-5-21-563353728-1466834001-1008150880-55545",
"Learning and Development - F0164807 - 3 yr warranty with mendit.com ref  74-14-001457333","CN=LD_NBK12775,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","LD_NBK12775.moorfields.nhs.uk","True","LD_NBK12775","computer","c4cc1f92-6a02-447b-bf39-fe4e31e33c41","06/10/2020 09:35:48","LD_NBK12775$","S-1-5-21-563353728-1466834001-1008150880-54157",
"Learning and Development - F0164807 - 3 yr warranty with mendit.com ref  74-14-001457333","CN=LD_NBK12777,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","LD_NBK12777.moorfields.nhs.uk","True","LD_NBK12777","computer","f148760d-86e6-49d0-97da-8af1390399cf","03/11/2020 14:57:14","LD_NBK12777$","S-1-5-21-563353728-1466834001-1008150880-54866",
,"CN=LD_NBK12882A,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","LD_NBK12882a.moorfields.nhs.uk","True","LD_NBK12882A","computer","961f81d5-7112-4382-8dc4-5af4e4a418fd","22/10/2020 09:00:00","LD_NBK12882A$","S-1-5-21-563353728-1466834001-1008150880-66900",
"Learning and Development - F0164807 - 3 yr warranty with mendit.com ref  74-14-001457333","CN=LD_NBK12884,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","LD_NBK12884.moorfields.nhs.uk","True","LD_NBK12884","computer","016c2f24-1809-4e95-840a-b4b9fce68834","26/10/2020 10:03:27","LD_NBK12884$","S-1-5-21-563353728-1466834001-1008150880-53787",
,"CN=LD_NBK12885,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","LD_NBK12885.moorfields.nhs.uk","True","LD_NBK12885","computer","42803f7a-7913-4783-8f4a-c475172a8160","15/10/2020 14:41:38","LD_NBK12885$","S-1-5-21-563353728-1466834001-1008150880-54159",
"Learning and Development - F0164807 - 3 yr warranty with mendit.com ref  74-14-001457333","CN=LD_NBK13860,OU=Laptops,DC=moorfields,DC=nhs,DC=uk","LD_NBK13860.moorfields.nhs.uk","True","LD_NBK13860","computer","74554624-7511-402c-b7aa-e5d3e0c3c921","22/10/2020 09:29:54","LD_NBK13860$","S-1-5-21-563353728-1466834001-1008150880-55546",
,"CN=LOANTRITONCU,CN=Computers,DC=moorfields,DC=nhs,DC=uk","LOANTRITONCU.moorfields.nhs.uk","True","LOANTRITONCU","computer","ee6fb07c-f1ec-43a4-9b4e-5f3082bc0d50","20/10/2020 13:11:41","LOANTRITONCU$","S-1-5-21-563353728-1466834001-1008150880-59506",
,"CN=M0014633,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M0014633.moorfields.nhs.uk","True","M0014633","computer","bdd51df7-c400-4828-96c0-e00e25f4fe94","06/10/2020 07:43:41","M0014633$","S-1-5-21-563353728-1466834001-1008150880-61184",
"RDCEC - f0095008 - ","CN=M010175,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m010175.moorfields.nhs.uk","True","M010175","computer","f73d3f1f-4fa3-4d65-bd19-8c1ca3673b01","05/10/2020 18:21:14","M010175$","S-1-5-21-563353728-1466834001-1008150880-46680",
"VR Research - 41181 - ","CN=M010323,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M010323.moorfields.nhs.uk","True","M010323","computer","202140ae-759e-4424-976e-c26ac6d472bc","12/10/2020 14:48:00","M010323$","S-1-5-21-563353728-1466834001-1008150880-65066",
"VR Research - 41181 - ","CN=M010324,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M010324.moorfields.nhs.uk","True","M010324","computer","a9c1be24-6dd7-4475-8a2b-cfe3a9a90714","07/10/2020 22:09:30","M010324$","S-1-5-21-563353728-1466834001-1008150880-40566",
"IN0015389 - Pharmacy - ","CN=M010577,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M010577.moorfields.nhs.uk","True","M010577","computer","4b7f5020-c3ae-405d-b9be-3ab791aff1d2","11/10/2020 23:59:23","M010577$","S-1-5-21-563353728-1466834001-1008150880-47346",
"F0058188 - Reading Centre - ","CN=M010735,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M010735.moorfields.nhs.uk","True","M010735","computer","26a4a408-20fa-48f1-82e0-1837ce27de2d","11/10/2020 08:43:22","M010735$","S-1-5-21-563353728-1466834001-1008150880-41367",
"F0058188 - Reading Centre - ","CN=M010736,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M010736.moorfields.nhs.uk","True","M010736","computer","730e21fa-f825-4766-97f1-b44446e0b33c","05/11/2020 04:15:28","M010736$","S-1-5-21-563353728-1466834001-1008150880-41368",
"F0070567 - EDD Electrodiagnostics - ","CN=M011017,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M011017.moorfields.nhs.uk","True","M011017","computer","6df1ad03-0660-4f5a-b016-786e9cddbaef","14/10/2020 19:40:27","M011017$","S-1-5-21-563353728-1466834001-1008150880-44561",
"Unallocated - TBC - ","CN=M011156,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011156.moorfields.nhs.uk","True","M011156","computer","2098b58c-14f3-4fe9-bca0-9f8f2217aacc","26/10/2020 05:14:02","M011156$","S-1-5-21-563353728-1466834001-1008150880-47501",
,"CN=M01147,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M01147.moorfields.nhs.uk","True","M01147","computer","4970a752-31d7-4898-8ecc-e43b3e6aa2d8","20/10/2020 10:15:39","M01147$","S-1-5-21-563353728-1466834001-1008150880-51907",
,"CN=M0114786,CN=Computers,DC=moorfields,DC=nhs,DC=uk","M0114786.moorfields.nhs.uk","True","M0114786","computer","7856476c-4b11-4eae-aa46-8ef9d084bfae","08/10/2020 16:15:39","M0114786$","S-1-5-21-563353728-1466834001-1008150880-57506",
"F0082661 - Croydon - ","CN=M011579,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011579.moorfields.nhs.uk","True","M011579","computer","a8ecc11e-b7dd-4d6d-9b99-47af3b2268b5","11/10/2020 00:28:39","M011579$","S-1-5-21-563353728-1466834001-1008150880-44050",
"F0086275 - MR Medical Retinal - ","CN=M011597,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011597.moorfields.nhs.uk","True","M011597","computer","7799a97b-cd7e-4b11-9cc7-aba182cc032e","16/10/2020 13:55:04","M011597$","S-1-5-21-563353728-1466834001-1008150880-47686",
"F0082635 - Consultant - ","CN=M011598,OU=Big Hand,DC=moorfields,DC=nhs,DC=uk","m011598.moorfields.nhs.uk","True","M011598","computer","66600484-3db8-4f8f-9f8d-41d4d811434e","15/10/2020 00:28:41","M011598$","S-1-5-21-563353728-1466834001-1008150880-44092",
"F0085189 - RDCEC - ","CN=M011601,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011601.moorfields.nhs.uk","True","M011601","computer","ee8b099f-8bde-464e-9de8-3f216f3a9b13","19/10/2020 00:04:40","M011601$","S-1-5-21-563353728-1466834001-1008150880-48386",
"F0085189 - RDCEC - ","CN=M011603,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011603.moorfields.nhs.uk","True","M011603","computer","fbedc6ec-80da-492f-bd03-be431bde53fc","08/10/2020 09:58:03","M011603$","S-1-5-21-563353728-1466834001-1008150880-47687",
"f0093166 - Professorial Unit - ","CN=M011605,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011605.moorfields.nhs.uk","True","M011605","computer","6c63daaf-b927-4179-8e9e-3ccc08736c98","02/11/2020 12:08:51","M011605$","S-1-5-21-563353728-1466834001-1008150880-44102",
"PC Refresh  - Clinical Research Facility - ","CN=M011607,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011607.moorfields.nhs.uk","True","M011607","computer","add97699-84ab-4215-bf09-ed1ce9dc39e6","15/10/2020 07:58:48","M011607$","S-1-5-21-563353728-1466834001-1008150880-48429",
,"CN=M011609,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011609.moorfields.nhs.uk","True","M011609","computer","f71e0737-a14b-4bf0-ba32-59a52da23599","02/11/2020 08:47:55","M011609$","S-1-5-21-563353728-1466834001-1008150880-46699",
"PC Refresh  - Clinical Research Facility - ","CN=M011611,CN=Computers,DC=moorfields,DC=nhs,DC=uk","m011611.moorfields.nhs.uk","True","M011611","computer","c65f4bc1-0bc7-41e8-97e8-953f3ca2d17b","20/10/2020 08:30:53","M011611$","S-1-5-21-563353728-1466834001-1008150880-44101",
